idx,sensor_id,measured_at,temperature,humidity
81,1,2025-04-29 17:42:47,24,36
82,2,2025-04-29 17:42:47,23,21
83,1,2025-04-29 17:42:48,24,36
84,2,2025-04-29 17:42:48,23,21
85,1,2025-04-29 17:42:49,24,36
86,2,2025-04-29 17:42:49,23,21
87,1,2025-04-29 17:42:50,24,36
88,2,2025-04-29 17:42:50,23,21
89,1,2025-04-29 17:42:51,24,36
90,2,2025-04-29 17:42:51,23,21
91,1,2025-04-29 17:42:52,24,36
92,2,2025-04-29 17:42:52,23,21
93,1,2025-04-29 17:42:53,24,36
94,2,2025-04-29 17:42:53,23,21
95,1,2025-04-29 17:42:54,24,36
96,2,2025-04-29 17:42:54,23,21
97,1,2025-04-29 17:42:55,24,36
98,2,2025-04-29 17:42:55,23,21
99,1,2025-04-29 17:42:56,24,36
100,2,2025-04-29 17:42:56,23,21
